year_built,wn_site_eui,wn_source_eui,Latitude,Longitude
"1,963",303.1,614.2,40.750791,-73.973963
"1,969",228.8,401.1,40.841402,-73.942568
"1,924",Not Available,Not Available,40.840427,-73.940249
"1,971",Not Available,Not Available,40.840746,-73.942854
"1,932",Not Available,Not Available,40.841559,-73.942528
"1,932",359,411.5,40.761395,-73.957726
"1,932",Not Available,Not Available,40.765949,-73.953752
"1,974",143976,151174.5,40.757859,-73.715543
"1,974",1091.5,3427.3,40.757859,-73.715543
"1,974",Not Available,Not Available,40.757859,-73.715543
"1,974",Not Available,Not Available,40.757859,-73.715543
"1,974",Not Available,Not Available,40.757859,-73.715543
"1,903",Not Available,Not Available,,
"1,903",316.8,374.2,40.695835,-73.991673
"1,950",Not Available,Not Available,,
"1,950",Not Available,Not Available,40.583953,-74.08693
"1,950",Not Available,Not Available,40.586868,-74.086592
"1,907",125.2,193.6,,
"1,939",79.9,106.2,,
"1,939",79,109.1,40.857943,-73.934962
"1,939",82.7,102.8,40.858256,-73.934734
"1,911",Not Available,Not Available,,
"1,911",23.4,73.3,40.773465,-73.962116
"1,911",17.4,52.3,40.773843,-73.961838
"1,964",118.8,124.7,,
"1,964",0,0,40.816968,-73.960754
"1,964",0,0,40.817221,-73.960776
"1,971",26.9,84.5,40.729201,-73.994155
"1,971",Not Available,Not Available,40.728924,-73.993834
"1,962",Not Available,Not Available,40.821523,-73.90549
"1,973",58.8,138.3,40.786238,-73.939958
"1,952",50.7,105.7,,
"1,952",25.1,61.4,,
"1,952",66.8,158.7,,
"1,952",43.4,86.6,,
"1,897",175.9,300.4,,
"1,996",0,0,,
"1,906",Not Available,Not Available,,
"1,950",0.5,0.5,,
"1,898",16,49.1,,
"1,908",5.8,10.9,40.805894,-73.962946
"1,908",6.8,15.8,40.805938,-73.963051
"1,898",30.4,93,40.806444,-73.96503
"1,924",34.2,107.3,40.806172,-73.965229
"1,999",Not Available,Not Available,,
"1,934",Not Available,Not Available,,
"1,908",0,0,,
"1,924",Not Available,Not Available,,
"1,907",Not Available,Not Available,,
"1,924",Not Available,Not Available,,
"1,925",Not Available,Not Available,,
"1,925",Not Available,Not Available,,
"1,924",Not Available,Not Available,,
"1,935",0,0,,
"1,925",0,0,40.80709,-73.960847
"1,961",73.4,230.3,40.80709,-73.960847
"1,950",0,0,40.80709,-73.960847
"1,950",Not Available,Not Available,40.80709,-73.960847
"1,950",Not Available,Not Available,40.80709,-73.960847
"1,910",69.9,219.5,40.807738,-73.960373
"1,980",0,0,40.807023,-73.958712
"1,977",Not Available,Not Available,40.809752,-73.960217
"1,988",4377.4,5874.8,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,897",Not Available,Not Available,40.809752,-73.960217
"1,987",Not Available,Not Available,40.809752,-73.960217
"1,924",Not Available,Not Available,40.809752,-73.960217
"1,911",Not Available,Not Available,40.809752,-73.960217
"1,910",0,0,40.809752,-73.960217
"1,927",Not Available,Not Available,40.809752,-73.960217
"1,974",Not Available,Not Available,40.809752,-73.960217
"1,987",Not Available,Not Available,40.809752,-73.960217
"1,897",Not Available,Not Available,40.809752,-73.960217
"1,964",Not Available,Not Available,40.809752,-73.960217
"1,932",11.4,11.9,40.80912,-73.965599
"1,897",Not Available,Not Available,40.809752,-73.960217
"1,930",Not Available,Not Available,40.809752,-73.960217
"1,964",Not Available,Not Available,40.809752,-73.960217
"1,950",0.3,0.3,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"1,950",Not Available,Not Available,40.809752,-73.960217
"2,010",Not Available,Not Available,40.809752,-73.960217
"1,909",0.1,0.1,40.808999,-73.964487
"1,920",1.1,1.4,40.809885,-73.963843
"1,924",0.1,0.3,40.810451,-73.964631
"1,924",7.5,9.3,40.810223,-73.964797
"1,914",110.3,287.3,,
"2,004",Not Available,Not Available,40.83999,-73.93975
"1,998",412.6,889.1,,
"1,995",Not Available,Not Available,,
"1,929",436.5,864.5,40.841402,-73.942568
"1,914",108.1,168.3,40.841398,-73.94049
"1,928",264.6,438.5,,
"1,976",555.8,969,40.842476,-73.942863
"1,929",111.9,164.1,40.84334,-73.942903
"1,973",109.3,170.8,40.84401,-73.942671
"1,973",Not Available,Not Available,40.844457,-73.942518
"1,970",89.8,161.7,40.845958,-73.942539
"1,905",92.4,184.4,,
"1,952",58.9,111.7,,
"1,905",63.8,165.8,40.711835,-74.006558
"1,964",121.7,235.7,40.711437,-74.006146
"1,940",Not Available,Not Available,,
"2,009",252,560.2,40.764843,-73.961243
"2,003",150,365.6,40.765726,-73.958994
"1,987",409,868.5,40.763695,-73.958053
"2,006",463.3,985.5,40.765039,-73.957363
"1,833",Not Available,Not Available,,
"1,966",5.5,12.8,40.727153,-73.997124
"1,981",8.2,22.6,40.728092,-73.995663
"1,959",16.2,47,40.729113,-73.997507
"1,960",14.8,42.6,40.729113,-73.997507
"1,960",17.5,51.1,40.729113,-73.997507
"1,992",Not Available,Not Available,40.729341,-73.996157
"1,896",19.6,61.7,40.729341,-73.996157
"1,972",Not Available,Not Available,40.729341,-73.996157
"1,972",0,0,40.729451,-73.997756
"1,966",9958.6,10755.3,40.728347,-73.995898
"2,001",30.6,82.9,40.729409,-73.997817
"2,012",1.2,2.9,40.73023,-73.997972
"1,986",4.5,4.7,40.730236,-74.000274
"1,951",0,0,40.73098,-73.999495
"1,895",52.9,166.2,40.730625,-73.998784
"2,001",10.1,31.2,40.729912,-73.999044
"1,894",5.4,14,,
"1,893",55.9,175.4,40.729827,-73.995429
"1,929",4.2,4.4,40.729245,-73.995919
"1,894",29.9,93.7,40.729456,-73.994667
"1,891",35,109.8,40.728978,-73.995378
"1,895",11.2,35.3,40.730546,-73.995237
"1,906",0,0,40.730398,-73.994938
"1,901",0,0,40.72984,-73.995418
"2,011",4.8,14.9,,
"1,896",1.5,4.8,40.729099,-73.993682
"1,896",19.4,61,40.729099,-73.993682
"1,962",13,13.6,40.730925,-73.995364
"1,896",75.3,236.5,40.731265,-73.99506
"1,929",19.3,50.5,40.731408,-73.999307
"1,928",17.4,27.7,40.73127,-73.999423
"1,960",183.7,227.4,,
"1,893",310,554.2,,
"1,893",133.4,160.5,40.732,-73.985185
"1,969",376.8,703,40.732082,-73.985127
"1,964",10.7,18.9,,
"1,848",104.8,192.9,,
"1,924",99.2,173.9,40.911797,-73.907008
"1,848",124.4,228.2,40.912828,-73.902506
"1,956",85.6,172.3,,
"1,925",Not Available,Not Available,,
"1,925",175.5,292.9,40.690419,-73.98519
"1,909",41.7,47.9,,
"1,939",2.6,7.1,40.805505,-73.965739
"1,910",159.9,183.1,40.805862,-73.965478
"1,909",29.8,36.4,40.80618,-73.965251
"1,964",100.8,112.8,40.808838,-73.959574
"1,967",17.2,26.5,40.809066,-73.959408
"1,910",3.9,9.5,,
"1,910",3.4,10.8,40.80822,-73.958379
"1,910",5.5,15.6,40.808269,-73.958502
"1,980",78.9,91.1,40.808832,-73.958021
"1,915",222.2,352.6,40.798832,-73.963979
"2,009",Not Available,Not Available,,
"2,009",Not Available,Not Available,40.681258,-73.965143
"2,009",Not Available,Not Available,,
"2,000",174.2,335.7,40.694476,-73.98718
"1,930",986.1,1898.5,40.694685,-73.987166
"1,987",149.2,359.9,40.869429,-73.825737
"2,013",Not Available,Not Available,,
"2,004",295.1,632.1,40.869429,-73.825737
"2,004",72,204.3,40.869429,-73.825737
"2,007",132,308.2,40.869429,-73.825737
"1,965",174,182.7,40.580944,-73.971484
"1,965",179.9,188.9,40.581135,-73.967434
"2,006",100.9,260.1,,
"1,987",218.7,439.3,,
"1,978",81,162.7,,
"1,990",11.6,12.1,,
"1,987",382.2,761.2,,
"1,928",129.7,169.6,40.825416,-73.940013
"1,928",100.1,132.7,40.825416,-73.940013
"1,928",121.2,150.1,40.825416,-73.940013
"1,928",102.5,137.1,40.825416,-73.940013
"1,928",111.8,146.1,40.825416,-73.940013
"1,928",123.1,169.9,40.825416,-73.940013
"1,928",160.6,205.4,40.825416,-73.940013
"1,970",Not Available,Not Available,,
"1,970",Not Available,Not Available,40.609977,-73.92222
"1,970",Not Available,Not Available,40.610962,-73.920699
"1,953",34.6,91.6,,
"1,953",72.9,76.5,,
"1,953",72,75.5,,
"1,953",Not Available,Not Available,,
"1,953",Not Available,Not Available,,
"1,953",Not Available,Not Available,,
"1,953",Not Available,Not Available,,
"1,953",Not Available,Not Available,,
"1,953",69.3,72.8,,
"1,953",66.4,69.8,,
"1,953",71.5,75.1,,
"1,953",78.8,82.7,,
"1,953",Not Available,Not Available,,
"1,953",26.1,81.8,,
"1,953",Not Available,Not Available,,
"1,953",170.8,179.4,,
"1,953",Not Available,Not Available,,
"1,953",142.9,150,,
"1,953",Not Available,Not Available,,
"1,953",Not Available,Not Available,,
"1,953",129.8,136.2,,
"1,955",26.6,79.3,,
"1,955",64.2,67.4,,
"1,968",131.9,191.6,,
"1,955",49.9,52.4,,
"1,955",1.8,1.9,,
"1,955",Not Available,Not Available,,
"1,955",Not Available,Not Available,,
"1,955",Not Available,Not Available,,
"1,955",Not Available,Not Available,,
"1,955",Not Available,Not Available,,
"1,955",Not Available,Not Available,,
"1,955",75.2,79,,
"1,955",Not Available,Not Available,,
"1,955",76.4,80.2,,
"1,954",26.1,77.1,,
"1,954",Not Available,Not Available,,
"1,954",73.8,77.3,,
"1,954",Not Available,Not Available,,
"1,954",Not Available,Not Available,,
"1,954",Not Available,Not Available,,
"1,966",44.9,137.6,,
"1,966",44.2,135.8,,
"1,966",45.6,139.5,,
"1,953",89.1,127.2,40.660488,-73.933165
"1,953",Not Available,Not Available,40.660488,-73.933165
"1,953",Not Available,Not Available,40.660488,-73.933165
"1,953",Not Available,Not Available,40.660488,-73.933165
"1,962",118.4,173,40.634756,-74.120309
"1,962",27.4,84.3,40.634756,-74.120309
"1,962",38.3,104.7,40.634756,-74.120309
"1,962",94.1,98.8,40.634756,-74.120309
"1,928",81.1,148.2,40.890431,-73.905757
"2,014",101.9,307.1,,
"2,014",6.1,6.4,,
"2,014",Not Available,Not Available,40.866288,-73.830604
"2,014",Not Available,Not Available,40.866412,-73.830658
"1,952",66.5,91.1,,
"1,952",Not Available,Not Available,,
"1,950",34.2,57.9,,
"1,930",55.6,170.7,,
"1,930",177.2,544.3,,
"1,930",Not Available,Not Available,40.783013,-73.953007
"1,951",107.3,154.8,,
"1,951",85.2,128.1,,
"1,951",97.5,148.5,,
"1,951",99.7,149.7,,
"1,951",87,133.5,,
"1,906",152,337.4,,
"1,951",89.7,128,,
"1,953",125.7,174.7,,
"1,953",125.2,175.7,,
"1,953",121.2,171.9,,
"1,953",128.5,175.5,,
"1,953",127.6,176.2,,
"1,900",8.5,26.1,40.728775,-73.993931
"1,914",Not Available,Not Available,40.728775,-73.993931
"1,939",78.1,127,40.744747,-73.997163
"1,939",73.3,128.7,40.744747,-73.997163
"1,939",80.1,122.3,40.744747,-73.997163
"1,994",50.7,158.7,40.623068,-74.149304
"1,994",29,90.9,40.623068,-74.149304
"1,952",111,158.7,,
"1,952",124.6,174.3,,
"1,952",127.2,178,,
"1,952",131.8,173.9,,
"1,940",288.7,578.5,,
"1,940",Not Available,Not Available,40.764817,-73.958168
"1,940",Not Available,Not Available,40.764199,-73.955695
"1,947",84,199.8,,
"1,947",47.9,125.6,,
"1,947",95.3,298.9,40.793333,-73.946795
"1,914",81,105.5,,
"1,914",56.5,93.3,40.789237,-73.978719
"1,960",105.8,147.4,,
"1,962",22.7,63,40.824151,-73.875786
"1,960",23.5,64.7,40.824282,-73.874792
"1,906",Not Available,Not Available,40.7492,-73.9819
"1,906",Not Available,Not Available,40.749511,-73.981673
"1,953",71.6,100.4,40.889637,-73.911686
"1,953",76.1,104.6,40.889637,-73.911686
"1,953",67.4,96.4,40.889637,-73.911686
"1,961",55.3,90,,
"1,961",15,29.2,40.791593,-73.941744
"1,961",33.3,82.6,,
"1,887",94.9,164,,
"2,005",94.1,203.6,40.692179,-73.96306
"1,965",93.6,135.1,40.692179,-73.96306
"1,955",85.8,165.6,,
"1,900",85.8,165.6,,
"1,955",85.8,165.6,,
"1,888",85.8,165.6,40.690247,-73.96433
"1,887",85.8,165.6,40.690247,-73.96433
"1,887",85.8,165.6,40.690247,-73.96433
"1,900",85.8,165.6,40.690247,-73.96433
"1,887",85.8,165.6,40.690247,-73.96433
"1,957",137.4,219.8,40.690247,-73.96433
"1,986",96.7,168.8,40.690247,-73.96433
"1,900",85.8,165.6,40.690247,-73.96433
"1,920",74.3,130.7,40.68831,-73.966852
"1,900",85.8,165.6,40.68831,-73.966852
"1,975",124.2,259.9,40.690205,-73.962268
"1,900",75.7,110.8,40.690205,-73.962268
"1,900",16.9,40,40.690205,-73.962268
"1,900",58.5,69.4,40.690205,-73.962268
"1,990",62.3,195.7,,
"1,991",117.8,364.7,,
"1,991",1.4,1.4,,
"1,968",Not Available,Not Available,,
"1,968",127.9,172.1,40.586551,-73.803505
"1,968",81.3,140.3,40.587442,-73.804154
"1,970",72.9,117.4,,
"1,970",24.3,72.1,40.815052,-73.935936
"1,970",20.9,61.9,40.815502,-73.935614
"1,966",108.8,150.3,,
"1,966",23.9,66.4,40.820534,-73.936144
"1,966",19.4,53.8,40.823024,-73.938049
"2,006",100.9,260.1,,
"2,006",Not Available,Not Available,,
"1,950",55.9,94.3,,
"1,984",35.6,71.1,40.557052,-74.138757
"1,996",Not Available,Not Available,,
"1,996",282.4,590.4,40.586217,-74.200825
"2,008",125.8,327.2,40.586217,-74.200825
"1,988",71.5,115,,
"1,988",142.3,205.1,40.685322,-73.971281
"1,988",7.4,23.3,40.685322,-73.971281
"1,988",95.8,100.6,40.685662,-73.970358
"1,988",268.7,438.4,40.685662,-73.970358
"1,988",30.4,95.3,40.685662,-73.970358
"1,988",7.5,23.4,40.685662,-73.970358
"1,988",1,3.1,40.685662,-73.970358
"1,988",54.2,85.2,40.684141,-73.96866
"1,965",110.3,154.1,,
"1,963",19.1,59.9,40.706762,-73.949111
"1,964",17.9,56.2,40.706762,-73.949111
"1,964",17,53.5,40.705676,-73.945513
"1,965",18.3,57.4,40.705512,-73.947161
"1,965",18.7,58.7,40.705512,-73.947161
"1,973",18.6,58.4,40.704233,-73.946055
"1,973",18.9,59.4,40.704233,-73.946055
"1,965",139.8,180.2,,
"1,949",69.7,87.2,40.58615,-73.970902
"1,951",63.2,75.3,40.586369,-73.968962
"1,900",83.8,114.8,40.585708,-73.971212
"1,949",81,102,40.585596,-73.971169
"1,949",77.1,97.9,40.584781,-73.971018
"1,951",88.6,122.6,,
"1,951",79.8,94.5,40.584138,-73.968833
"1,951",77.5,92.2,40.584138,-73.968833
"1,949",70.2,82.9,40.585642,-73.968728
"1,949",65,77.5,40.585642,-73.968728
"1,949",74.8,87.8,40.585642,-73.968728
"1,921",31.9,100.1,,
"1,921",35.8,112.4,,
"1,921",80.3,154.2,,
"1,968",35.4,90.5,40.823093,-73.862394
"1,968",33.8,87,40.823093,-73.862394
"1,972",Not Available,Not Available,,
"1,972",90.5,137.3,40.840769,-73.881697
"1,972",115.3,171.1,40.840769,-73.881697
"1,972",138.7,173.5,40.840769,-73.881697
"1,972",141,167.2,40.842123,-73.880028
"1,972",136.4,171.4,40.841714,-73.880538
"1,972",94.8,144.5,40.841714,-73.880538
"1,929",99.6,100.6,,
"1,967",38.3,120.3,40.850675,-73.929092
"1,929",43.3,128.3,40.851292,-73.928592
"1,965",184.2,193.4,,
"1,965",Not Available,Not Available,40.580944,-73.971484
"1,965",Not Available,Not Available,40.581135,-73.967434
"1,960",Not Available,Not Available,40.771277,-73.983299
"1,962",104,222.4,40.771277,-73.983299
"1,966",100.9,245.1,40.771277,-73.983299
"1,965",269.7,596.1,40.771277,-73.983299
"1,966",Not Available,Not Available,,
"1,966",25.5,74.6,,
"1,966",17,48.7,,
"1,966",20.8,59.3,,
"2,009",23.3,43.2,,
"1,928",88.2,192,40.717231,-74.006565
"1,915",97.5,200.7,,
"2,009",105.6,247.6,,
"1,908",Not Available,Not Available,,
"1,930",16,44,40.811633,-73.962571
"1,909",Not Available,Not Available,40.810755,-73.961907
"1,963",217.3,467.5,,
"1,963",387.1,786,,
"1,963",47.4,148.9,40.769397,-73.985198
"1,924",281.6,520.2,,
"1,924",23.1,72.4,40.73279,-73.983568
"1,924",612.9,1226.2,40.733421,-73.983117
"1,924",203.9,257,40.733174,-73.981096
"1,940",105.2,144.8,40.730833,-73.985492
"1,940",65.1,99.6,40.730833,-73.985492
"1,940",87.7,125,,
"1,975",135.1,211.3,,
